--- Relatório Detalhado de Falhas (Blue Threshold: 0.12) ---

Arquivo: img_000009.jpg | Status: incorrect | Esperado: QRD1911 | Lido: ORD1911
Arquivo: img_002091.jpg | Status: incorrect | Esperado: ODO0659 | Lido: OOO0659
Arquivo: img_002101.jpg | Status: detection_failed | Esperado: ODS2861 | Lido: 
Arquivo: img_002092.jpg | Status: incorrect | Esperado: MTZ3256 | Lido: MTT7256
Arquivo: img_002096.jpg | Status: ocr_failed | Esperado: OVL4093 | Lido: 
Arquivo: img_002099.jpg | Status: ocr_failed | Esperado: OVH8494 | Lido: 
Arquivo: img_002103.jpg | Status: ocr_failed | Esperado: MTJ6238 | Lido: MTJE238
Arquivo: img_002114.jpg | Status: detection_failed | Esperado: PPP3108 | Lido: 
Arquivo: img_002106.jpg | Status: incorrect | Esperado: ODR3127 | Lido: DOR3127
Arquivo: img_002108.jpg | Status: incorrect | Esperado: ODQ1034 | Lido: OOO1034
Arquivo: img_002110.jpg | Status: ocr_failed | Esperado: PPP6110 | Lido: 
Arquivo: img_002109.jpg | Status: ocr_failed | Esperado: PPW3670 | Lido: 
Arquivo: img_002112.jpg | Status: incorrect | Esperado: QRC0468 | Lido: ORO0468
Arquivo: img_002125.jpg | Status: detection_failed | Esperado: ODR3127 | Lido: 
Arquivo: img_002115.jpg | Status: incorrect | Esperado: MQL1802 | Lido: MOL1802
Arquivo: img_002123.jpg | Status: incorrect | Esperado: ODT6061 | Lido: OOT6061
Arquivo: img_002124.jpg | Status: incorrect | Esperado: ODF0135 | Lido: ODF0I35
Arquivo: img_002143.jpg | Status: detection_failed | Esperado: PPX4852 | Lido: 
Arquivo: img_002133.jpg | Status: incorrect | Esperado: MTZ3256 | Lido: MTT3256
Arquivo: img_002135.jpg | Status: ocr_failed | Esperado: MST8531 | Lido: 
Arquivo: img_002142.jpg | Status: incorrect | Esperado: MTW3255 | Lido: MTW3Z55
Arquivo: img_002140.jpg | Status: incorrect | Esperado: QNA4386 | Lido: ONA4386
Arquivo: img_002144.jpg | Status: ocr_failed | Esperado: JOK7866 | Lido: 
Arquivo: img_002146.jpg | Status: incorrect | Esperado: ODR4149 | Lido: DDR4I49
Arquivo: img_002147.jpg | Status: incorrect | Esperado: MTG5739 | Lido: VIG5739
Arquivo: img_002154.jpg | Status: incorrect | Esperado: ODS2590 | Lido: ODS2S90
Arquivo: img_002156.jpg | Status: incorrect | Esperado: MTZ3256 | Lido: MTZ3258
Arquivo: img_002169.jpg | Status: ocr_failed | Esperado: MSB0344 | Lido: 
Arquivo: img_002170.jpg | Status: incorrect | Esperado: MTX0171 | Lido: MTX0121
Arquivo: img_002182.jpg | Status: detection_failed | Esperado: PPG6212 | Lido: 
Arquivo: img_002183.jpg | Status: detection_failed | Esperado: ODP0519 | Lido: 
Arquivo: img_002185.jpg | Status: detection_failed | Esperado: MRE9388 | Lido: 
Arquivo: img_002188.jpg | Status: detection_failed | Esperado: MRB5624 | Lido: 
Arquivo: img_002190.jpg | Status: detection_failed | Esperado: ODR3893 | Lido: 
Arquivo: img_002181.jpg | Status: ocr_failed | Esperado: PPX0700 | Lido: 
Arquivo: img_002187.jpg | Status: ocr_failed | Esperado: JFW7462 | Lido: 
Arquivo: img_002191.jpg | Status: ocr_failed | Esperado: PZT7967 | Lido: 
Arquivo: img_002196.jpg | Status: incorrect | Esperado: ODS2624 | Lido: ODS2G24
Arquivo: img_002197.jpg | Status: incorrect | Esperado: MTZ3256 | Lido: MTZ3258
Arquivo: img_002202.jpg | Status: incorrect | Esperado: OVH8488 | Lido: DVH8498
Arquivo: img_002204.jpg | Status: incorrect | Esperado: ODO0659 | Lido: OOO0659
Arquivo: img_002205.jpg | Status: incorrect | Esperado: ODR4042 | Lido: DDR4042
Arquivo: img_002210.jpg | Status: ocr_failed | Esperado: MTZ3256 | Lido: MT7328
Arquivo: img_002212.jpg | Status: ocr_failed | Esperado: ODR1856 | Lido: 
Arquivo: img_002214.jpg | Status: ocr_failed | Esperado: ODT6064 | Lido: 
Arquivo: img_002216.jpg | Status: ocr_failed | Esperado: MSK7666 | Lido: 
Arquivo: img_002226.jpg | Status: detection_failed | Esperado: PUC4534 | Lido: 
Arquivo: img_002229.jpg | Status: detection_failed | Esperado: OYF4011 | Lido: 
Arquivo: img_002228.jpg | Status: detection_failed | Esperado: JOK7866 | Lido: 
Arquivo: img_002231.jpg | Status: detection_failed | Esperado: MQH2381 | Lido: 
Arquivo: img_002233.jpg | Status: detection_failed | Esperado: APE6012 | Lido: 
Arquivo: img_002230.jpg | Status: incorrect | Esperado: ODS4352 | Lido: OOS4352
Arquivo: img_002238.jpg | Status: incorrect | Esperado: ODO6478 | Lido: OOO6478
Arquivo: img_002244.jpg | Status: ocr_failed | Esperado: OVL6090 | Lido: 
Arquivo: img_002264.jpg | Status: detection_failed | Esperado: ODT7294 | Lido: 
Arquivo: img_002267.jpg | Status: detection_failed | Esperado: PKI3355 | Lido: 
Arquivo: img_002258.jpg | Status: ocr_failed | Esperado: PPX0691 | Lido: PPX069
Arquivo: img_002257.jpg | Status: incorrect | Esperado: MTZ3256 | Lido: MTZ7286
Arquivo: img_002259.jpg | Status: ocr_failed | Esperado: ODR3127 | Lido: 
Arquivo: img_002272.jpg | Status: detection_failed | Esperado: PPH5379 | Lido: 
Arquivo: img_002263.jpg | Status: ocr_failed | Esperado: ODE9633 | Lido: 
Arquivo: img_002274.jpg | Status: detection_failed | Esperado: PPW2922 | Lido: 
Arquivo: img_002265.jpg | Status: incorrect | Esperado: ODR2427 | Lido: DOR2427
Arquivo: img_002278.jpg | Status: detection_failed | Esperado: HLG7557 | Lido: 
Arquivo: img_002280.jpg | Status: detection_failed | Esperado: MSN6235 | Lido: 
Arquivo: img_002266.jpg | Status: ocr_failed | Esperado: LQR5015 | Lido: ORS0TS
Arquivo: img_002281.jpg | Status: detection_failed | Esperado: ODH5076 | Lido: 
Arquivo: img_002282.jpg | Status: detection_failed | Esperado: MRA7567 | Lido: 
Arquivo: img_002270.jpg | Status: ocr_failed | Esperado: OWV9793 | Lido: 
Arquivo: img_002273.jpg | Status: incorrect | Esperado: ODT9981 | Lido: OOT9981
Arquivo: img_002275.jpg | Status: ocr_failed | Esperado: PPX0700 | Lido: 
Arquivo: img_002276.jpg | Status: incorrect | Esperado: MTZ3256 | Lido: MTZ3258
Arquivo: img_002277.jpg | Status: ocr_failed | Esperado: PPX0700 | Lido: 
Arquivo: img_002293.jpg | Status: detection_failed | Esperado: QQI3866 | Lido: 
Arquivo: img_002294.jpg | Status: detection_failed | Esperado: DML6340 | Lido: 
Arquivo: img_002287.jpg | Status: ocr_failed | Esperado: MTZ8488 | Lido: 8
Arquivo: img_002289.jpg | Status: ocr_failed | Esperado: OLE8866 | Lido: E8866
Arquivo: img_002303.jpg | Status: detection_failed | Esperado: MTD7587 | Lido: 
Arquivo: img_002305.jpg | Status: detection_failed | Esperado: BYQ3760 | Lido: 
Arquivo: img_002304.jpg | Status: detection_failed | Esperado: MPT6477 | Lido: 
Arquivo: img_002301.jpg | Status: ocr_failed | Esperado: OVF4034 | Lido: F4034
Arquivo: img_002302.jpg | Status: incorrect | Esperado: PPP6110 | Lido: PPP5110
Arquivo: img_002310.jpg | Status: ocr_failed | Esperado: MTC4480 | Lido: 
Arquivo: img_002309.jpg | Status: incorrect | Esperado: ODF5623 | Lido: DDF5623
Arquivo: img_002306.jpg | Status: ocr_failed | Esperado: PPP8171 | Lido: PPP817
Arquivo: img_002323.jpg | Status: detection_failed | Esperado: MPI9809 | Lido: 
Arquivo: img_002313.jpg | Status: incorrect | Esperado: PPS4192 | Lido: PPS4I92
Arquivo: img_002322.jpg | Status: incorrect | Esperado: ODK7947 | Lido: OOK7947
Arquivo: img_002321.jpg | Status: incorrect | Esperado: ODS2624 | Lido: ONS2624
Arquivo: img_002325.jpg | Status: ocr_failed | Esperado: ODS2621 | Lido: 
Arquivo: img_002327.jpg | Status: ocr_failed | Esperado: OYJ8863 | Lido: 
Arquivo: img_002350.jpg | Status: ocr_failed | Esperado: PPP9897 | Lido: A
Arquivo: img_002363.jpg | Status: detection_failed | Esperado: MSN6401 | Lido: 
Arquivo: img_002360.jpg | Status: incorrect | Esperado: MQS2638 | Lido: MOS2G38
Arquivo: img_002367.jpg | Status: detection_failed | Esperado: MSF6603 | Lido: 
Arquivo: img_002368.jpg | Status: detection_failed | Esperado: OCZ1443 | Lido: 
Arquivo: img_002365.jpg | Status: incorrect | Esperado: QRD3021 | Lido: DRD3021
Arquivo: img_002384.jpg | Status: detection_failed | Esperado: OVL5378 | Lido: 
Arquivo: img_002378.jpg | Status: ocr_failed | Esperado: PPW0076 | Lido: 
Arquivo: img_002391.jpg | Status: detection_failed | Esperado: PPW4661 | Lido: 
Arquivo: img_002380.jpg | Status: incorrect | Esperado: MTG5739 | Lido: VTG5739
Arquivo: img_002383.jpg | Status: ocr_failed | Esperado: ODG4873 | Lido: G4873
Arquivo: img_002386.jpg | Status: incorrect | Esperado: ODP9185 | Lido: OOP9185
Arquivo: img_002414.jpg | Status: detection_failed | Esperado: PPX5167 | Lido: 
Arquivo: img_002412.jpg | Status: ocr_failed | Esperado: MTM4102 | Lido: 
Arquivo: img_002427.jpg | Status: detection_failed | Esperado: PPW7385 | Lido: 
Arquivo: img_002418.jpg | Status: ocr_failed | Esperado: MTZ8488 | Lido: 
Arquivo: img_002420.jpg | Status: ocr_failed | Esperado: MQN3600 | Lido: 
Arquivo: img_002426.jpg | Status: ocr_failed | Esperado: PPI4116 | Lido: AINAJU
Arquivo: img_002433.jpg | Status: detection_failed | Esperado: KPL1606 | Lido: 
Arquivo: img_002438.jpg | Status: detection_failed | Esperado: PPW9887 | Lido: 
Arquivo: img_002435.jpg | Status: ocr_failed | Esperado: OCV8797 | Lido: 
Arquivo: img_002436.jpg | Status: incorrect | Esperado: ODT6153 | Lido: OOT6153
Arquivo: img_002448.jpg | Status: detection_failed | Esperado: MQU5385 | Lido: 
Arquivo: img_002454.jpg | Status: ocr_failed | Esperado: MSH8964 | Lido: 
Arquivo: img_002450.jpg | Status: ocr_failed | Esperado: MTG5739 | Lido: T65739
Arquivo: img_002456.jpg | Status: incorrect | Esperado: MTG5739 | Lido: VTG5739
Arquivo: img_002457.jpg | Status: incorrect | Esperado: ODF7548 | Lido: OOF7548
Arquivo: img_002466.jpg | Status: ocr_failed | Esperado: ODM3563 | Lido: 
Arquivo: img_002468.jpg | Status: ocr_failed | Esperado: MTX0171 | Lido: MTXO1Z
Arquivo: img_002473.jpg | Status: incorrect | Esperado: MQN2715 | Lido: MON2715
Arquivo: img_002474.jpg | Status: incorrect | Esperado: ODT4813 | Lido: OOT4813
Arquivo: img_002491.jpg | Status: detection_failed | Esperado: ODG3967 | Lido: 
Arquivo: img_002484.jpg | Status: ocr_failed | Esperado: MRC1366 | Lido: 
Arquivo: img_002501.jpg | Status: ocr_failed | Esperado: LTL9770 | Lido: 
Arquivo: img_002505.jpg | Status: ocr_failed | Esperado: PPX5162 | Lido: 
Arquivo: img_002510.jpg | Status: detection_failed | Esperado: QNS7486 | Lido: 
Arquivo: img_002512.jpg | Status: detection_failed | Esperado: MST4686 | Lido: 
Arquivo: img_002515.jpg | Status: detection_failed | Esperado: PPX4326 | Lido: 
Arquivo: img_002513.jpg | Status: incorrect | Esperado: ODF4653 | Lido: ODF4G53
Arquivo: img_002518.jpg | Status: incorrect | Esperado: ODP0519 | Lido: OOP0519
Arquivo: img_002521.jpg | Status: ocr_failed | Esperado: OYE4607 | Lido: 
Arquivo: img_002524.jpg | Status: incorrect | Esperado: QOD0956 | Lido: OOO0956
Arquivo: img_002522.jpg | Status: incorrect | Esperado: MTD5159 | Lido: MTD5I59
Arquivo: img_002530.jpg | Status: incorrect | Esperado: MQN9789 | Lido: MON9789
Arquivo: img_002527.jpg | Status: incorrect | Esperado: ODS3207 | Lido: OOS3207
Arquivo: img_002538.jpg | Status: detection_failed | Esperado: PPW1889 | Lido: 
Arquivo: img_002547.jpg | Status: detection_failed | Esperado: BYQ3760 | Lido: 
Arquivo: img_002542.jpg | Status: ocr_failed | Esperado: PPX5172 | Lido: 
Arquivo: img_002541.jpg | Status: incorrect | Esperado: PLB1104 | Lido: PLB1I04
Arquivo: img_002537.jpg | Status: incorrect | Esperado: PWK4214 | Lido: PHK4214
Arquivo: img_002550.jpg | Status: incorrect | Esperado: MTE0438 | Lido: MTE0430
Arquivo: img_002553.jpg | Status: incorrect | Esperado: MTE5192 | Lido: MTE5I92
Arquivo: img_002549.jpg | Status: incorrect | Esperado: MQJ7289 | Lido: MOJ7289
Arquivo: img_002568.jpg | Status: detection_failed | Esperado: PPX5167 | Lido: 
Arquivo: img_002569.jpg | Status: detection_failed | Esperado: QRC6780 | Lido: 
Arquivo: img_002562.jpg | Status: incorrect | Esperado: MTX0171 | Lido: MTX0121
Arquivo: img_002570.jpg | Status: ocr_failed | Esperado: MTZ8488 | Lido: 
Arquivo: img_002577.jpg | Status: detection_failed | Esperado: ODR1856 | Lido: 
Arquivo: img_002581.jpg | Status: incorrect | Esperado: OYG6189 | Lido: OYG6I89
Arquivo: img_002582.jpg | Status: incorrect | Esperado: ODF1587 | Lido: OOF1587
Arquivo: img_002583.jpg | Status: ocr_failed | Esperado: HAX6942 | Lido: HILUXSWA
Arquivo: img_002587.jpg | Status: ocr_failed | Esperado: MTZ3256 | Lido: MTZ326
Arquivo: img_002591.jpg | Status: ocr_failed | Esperado: PPW1889 | Lido: 
Arquivo: img_002603.jpg | Status: detection_failed | Esperado: QJK6374 | Lido: 
Arquivo: img_002596.jpg | Status: incorrect | Esperado: PPK2695 | Lido: PPK2G95
Arquivo: img_002606.jpg | Status: incorrect | Esperado: ODR3706 | Lido: OOR3706
Arquivo: img_002607.jpg | Status: incorrect | Esperado: MSB4766 | Lido: IGP4766
Arquivo: img_002608.jpg | Status: ocr_failed | Esperado: ODF4653 | Lido: D0DF4653
Arquivo: img_002615.jpg | Status: detection_failed | Esperado: QRD3012 | Lido: 
Arquivo: img_002617.jpg | Status: detection_failed | Esperado: PPZ3416 | Lido: 
Arquivo: img_002610.jpg | Status: ocr_failed | Esperado: OVL7967 | Lido: 
Arquivo: img_002609.jpg | Status: incorrect | Esperado: QHL7752 | Lido: QHL7T52
Arquivo: img_002611.jpg | Status: ocr_failed | Esperado: ODT6064 | Lido: DEEL0DT6064
Arquivo: img_002613.jpg | Status: ocr_failed | Esperado: PPW5066 | Lido: 
Arquivo: img_002627.jpg | Status: detection_failed | Esperado: PPP8356 | Lido: 
Arquivo: img_002618.jpg | Status: ocr_failed | Esperado: PPP7010 | Lido: 
Arquivo: img_002616.jpg | Status: ocr_failed | Esperado: ODM6350 | Lido: 006350
Arquivo: img_002620.jpg | Status: incorrect | Esperado: QRD3045 | Lido: ORD3045
Arquivo: img_002621.jpg | Status: ocr_failed | Esperado: PLE1570 | Lido: PLE570
Arquivo: img_002625.jpg | Status: ocr_failed | Esperado: OYK7466 | Lido: K7466
Arquivo: img_002632.jpg | Status: ocr_failed | Esperado: PPX5163 | Lido: 
Arquivo: img_002633.jpg | Status: ocr_failed | Esperado: PPW1889 | Lido: 
Arquivo: img_002629.jpg | Status: ocr_failed | Esperado: PPX4369 | Lido: 
Arquivo: img_002645.jpg | Status: detection_failed | Esperado: MTT9989 | Lido: 
Arquivo: img_002651.jpg | Status: detection_failed | Esperado: PPP8356 | Lido: 
Arquivo: img_002646.jpg | Status: incorrect | Esperado: LQF8280 | Lido: LOF8280
Arquivo: img_002640.jpg | Status: incorrect | Esperado: ODR3706 | Lido: OOR3706
Arquivo: img_002655.jpg | Status: ocr_failed | Esperado: PPX5162 | Lido: 
Arquivo: img_002669.jpg | Status: ocr_failed | Esperado: MTZ8488 | Lido: 
Arquivo: img_002680.jpg | Status: detection_failed | Esperado: GYS8753 | Lido: 
Arquivo: img_002686.jpg | Status: detection_failed | Esperado: PPP6764 | Lido: 
Arquivo: img_002675.jpg | Status: ocr_failed | Esperado: PPV3922 | Lido: 
Arquivo: img_002677.jpg | Status: incorrect | Esperado: ODT6181 | Lido: OOT6181
Arquivo: img_002682.jpg | Status: incorrect | Esperado: ODG1791 | Lido: OQG1791
Arquivo: img_002684.jpg | Status: ocr_failed | Esperado: MTX0171 | Lido: MTXO17
Arquivo: img_002688.jpg | Status: incorrect | Esperado: MQM7541 | Lido: MOM7541
Arquivo: img_002700.jpg | Status: detection_failed | Esperado: OYG1205 | Lido: 
Arquivo: img_002694.jpg | Status: ocr_failed | Esperado: PPD0847 | Lido: PEDC847
Arquivo: img_002701.jpg | Status: ocr_failed | Esperado: PPN2471 | Lido: PPN247
Arquivo: img_002702.jpg | Status: incorrect | Esperado: MQC1355 | Lido: MOC1355
Arquivo: img_002710.jpg | Status: ocr_failed | Esperado: PPM1763 | Lido: 
Arquivo: img_002732.jpg | Status: detection_failed | Esperado: MST4686 | Lido: 
Arquivo: img_002725.jpg | Status: ocr_failed | Esperado: MSX2549 | Lido: 
Arquivo: img_002746.jpg | Status: detection_failed | Esperado: PPP9312 | Lido: 
Arquivo: img_002744.jpg | Status: incorrect | Esperado: MQC1355 | Lido: MOC1355
Arquivo: img_002745.jpg | Status: ocr_failed | Esperado: PPP8356 | Lido: 
Arquivo: img_002747.jpg | Status: incorrect | Esperado: ODI1892 | Lido: AOD1189
Arquivo: img_002751.jpg | Status: incorrect | Esperado: PPW3176 | Lido: PPH3I76
Arquivo: img_002764.jpg | Status: detection_failed | Esperado: MRY7955 | Lido: 
Arquivo: img_002759.jpg | Status: ocr_failed | Esperado: ODR3127 | Lido: 
Arquivo: img_002761.jpg | Status: ocr_failed | Esperado: OVI1809 | Lido: OV1180
Arquivo: img_002766.jpg | Status: ocr_failed | Esperado: JQX6295 | Lido: 
Arquivo: img_002771.jpg | Status: incorrect | Esperado: PPW0050 | Lido: PPH0050
Arquivo: img_002780.jpg | Status: detection_failed | Esperado: PPW9995 | Lido: 
Arquivo: img_002769.jpg | Status: incorrect | Esperado: ODO9891 | Lido: SNT0009
Arquivo: img_002779.jpg | Status: ocr_failed | Esperado: MTG8276 | Lido: 
Arquivo: img_002781.jpg | Status: incorrect | Esperado: PPP7010 | Lido: DPP7010
Arquivo: img_002796.jpg | Status: detection_failed | Esperado: PPP8761 | Lido: 
Arquivo: img_002791.jpg | Status: ocr_failed | Esperado: OVH1838 | Lido: 27997380692
Arquivo: img_002793.jpg | Status: ocr_failed | Esperado: MTZ6794 | Lido: 
Arquivo: img_002795.jpg | Status: incorrect | Esperado: MQC1355 | Lido: MOC1355
Arquivo: img_002802.jpg | Status: incorrect | Esperado: OCY5093 | Lido: DCY5093
Arquivo: img_002811.jpg | Status: incorrect | Esperado: QRC6770 | Lido: ORC6770
Arquivo: img_002821.jpg | Status: detection_failed | Esperado: PPW3952 | Lido: 
Arquivo: img_002815.jpg | Status: incorrect | Esperado: ODS4776 | Lido: OOS4778
Arquivo: img_002823.jpg | Status: detection_failed | Esperado: ODR3892 | Lido: 
Arquivo: img_002816.jpg | Status: ocr_failed | Esperado: MTZ8488 | Lido: 
Arquivo: img_002840.jpg | Status: detection_failed | Esperado: PPP9312 | Lido: 
Arquivo: img_002833.jpg | Status: ocr_failed | Esperado: MSH4937 | Lido: ASCAREL
Arquivo: img_002838.jpg | Status: incorrect | Esperado: MQF7485 | Lido: MOF7485
Arquivo: img_002834.jpg | Status: incorrect | Esperado: ODO0659 | Lido: OOO0659
Arquivo: img_002847.jpg | Status: ocr_failed | Esperado: PPP7010 | Lido: PP7010
Arquivo: img_002862.jpg | Status: detection_failed | Esperado: PPP5853 | Lido: 
Arquivo: img_002853.jpg | Status: ocr_failed | Esperado: ODT7221 | Lido: 
Arquivo: img_002863.jpg | Status: detection_failed | Esperado: OVF6264 | Lido: 
Arquivo: img_002869.jpg | Status: detection_failed | Esperado: PPW0076 | Lido: 
Arquivo: img_002870.jpg | Status: detection_failed | Esperado: MQN1780 | Lido: 
Arquivo: img_002878.jpg | Status: ocr_failed | Esperado: PPL5787 | Lido: 
Arquivo: img_002886.jpg | Status: ocr_failed | Esperado: MTZ6794 | Lido: 
Arquivo: img_002900.jpg | Status: detection_failed | Esperado: MST1875 | Lido: 
Arquivo: img_002894.jpg | Status: incorrect | Esperado: MTU0475 | Lido: MTO0475
Arquivo: img_002893.jpg | Status: ocr_failed | Esperado: MTZ8620 | Lido: LGESTATEBRG
Arquivo: img_002917.jpg | Status: detection_failed | Esperado: MRX3194 | Lido: 
Arquivo: img_002918.jpg | Status: detection_failed | Esperado: ODT6129 | Lido: 
Arquivo: img_002925.jpg | Status: detection_failed | Esperado: ODG3967 | Lido: 
Arquivo: img_002911.jpg | Status: ocr_failed | Esperado: ODG3065 | Lido: 
Arquivo: img_002916.jpg | Status: incorrect | Esperado: QRD1769 | Lido: QRD1T69
Arquivo: img_002930.jpg | Status: detection_failed | Esperado: PPW1889 | Lido: 
Arquivo: img_002922.jpg | Status: incorrect | Esperado: PPX9828 | Lido: PPX9982
Arquivo: img_002950.jpg | Status: detection_failed | Esperado: PPP9789 | Lido: 
Arquivo: img_002951.jpg | Status: detection_failed | Esperado: PPW9578 | Lido: 
Arquivo: img_002940.jpg | Status: ocr_failed | Esperado: ODR3127 | Lido: 
Arquivo: img_002962.jpg | Status: detection_failed | Esperado: PPS4432 | Lido: 
Arquivo: img_002964.jpg | Status: detection_failed | Esperado: ODR3127 | Lido: 
Arquivo: img_002954.jpg | Status: incorrect | Esperado: HJJ5756 | Lido: IJJ5756
Arquivo: img_002969.jpg | Status: detection_failed | Esperado: PPW6580 | Lido: 
Arquivo: img_002957.jpg | Status: ocr_failed | Esperado: PPX5172 | Lido: 
Arquivo: img_002983.jpg | Status: detection_failed | Esperado: MTA1883 | Lido: 
Arquivo: img_002986.jpg | Status: detection_failed | Esperado: PPW3952 | Lido: 
Arquivo: img_002976.jpg | Status: incorrect | Esperado: MSD0247 | Lido: TMS0024
Arquivo: img_002992.jpg | Status: detection_failed | Esperado: ODR3127 | Lido: 
Arquivo: img_002979.jpg | Status: ocr_failed | Esperado: LRY9368 | Lido: 
Arquivo: img_002987.jpg | Status: incorrect | Esperado: ODF1587 | Lido: DDF1587
Arquivo: img_002990.jpg | Status: incorrect | Esperado: ODI1892 | Lido: LAT0011
Arquivo: img_003005.jpg | Status: ocr_failed | Esperado: MSP1487 | Lido: 
Arquivo: img_003006.jpg | Status: ocr_failed | Esperado: PPW1889 | Lido: 
Arquivo: img_003033.jpg | Status: detection_failed | Esperado: OVH4054 | Lido: 
Arquivo: img_003031.jpg | Status: ocr_failed | Esperado: OKL2076 | Lido: 
Arquivo: img_003036.jpg | Status: ocr_failed | Esperado: ODE4816 | Lido: 
Arquivo: img_003034.jpg | Status: incorrect | Esperado: OYK7720 | Lido: OYK7120
Arquivo: img_003040.jpg | Status: ocr_failed | Esperado: MTZ6794 | Lido: 
Arquivo: img_003039.jpg | Status: ocr_failed | Esperado: DDO2680 | Lido: SALARLNDDO268
Arquivo: img_003044.jpg | Status: incorrect | Esperado: MTZ3256 | Lido: NTZ3256
Arquivo: img_003046.jpg | Status: incorrect | Esperado: MSD0247 | Lido: MSO0247
Arquivo: img_003049.jpg | Status: ocr_failed | Esperado: PPW1889 | Lido: 
Arquivo: img_003055.jpg | Status: ocr_failed | Esperado: ODT6162 | Lido: 
Arquivo: img_003057.jpg | Status: ocr_failed | Esperado: MRY7639 | Lido: 
Arquivo: img_003070.jpg | Status: detection_failed | Esperado: FJA8105 | Lido: 
Arquivo: img_003061.jpg | Status: ocr_failed | Esperado: PPG5552 | Lido: 
Arquivo: img_003063.jpg | Status: incorrect | Esperado: MQZ2688 | Lido: MOZ2688
Arquivo: img_003062.jpg | Status: incorrect | Esperado: ODR4042 | Lido: DDR4042
Arquivo: img_003077.jpg | Status: ocr_failed | Esperado: PPW1889 | Lido: 
Arquivo: img_003074.jpg | Status: ocr_failed | Esperado: QOE1909 | Lido: QOE909
Arquivo: img_003080.jpg | Status: incorrect | Esperado: ODP0519 | Lido: OOP0519
Arquivo: img_003089.jpg | Status: detection_failed | Esperado: PPW1955 | Lido: 
Arquivo: img_003092.jpg | Status: detection_failed | Esperado: PPX6781 | Lido: 
Arquivo: img_003093.jpg | Status: detection_failed | Esperado: POQ2469 | Lido: 
Arquivo: img_003085.jpg | Status: incorrect | Esperado: ODF1587 | Lido: DDF1587
Arquivo: img_003112.jpg | Status: detection_failed | Esperado: PPP4955 | Lido: 
Arquivo: img_003105.jpg | Status: ocr_failed | Esperado: MTZ8488 | Lido: 
Arquivo: img_003121.jpg | Status: detection_failed | Esperado: PAC2868 | Lido: 
Arquivo: img_003123.jpg | Status: incorrect | Esperado: ODQ9380 | Lido: OOO9380
Arquivo: img_003135.jpg | Status: detection_failed | Esperado: ODG5861 | Lido: 
Arquivo: img_003125.jpg | Status: ocr_failed | Esperado: MTZ7504 | Lido: 27504
Arquivo: img_003144.jpg | Status: ocr_failed | Esperado: PPP4197 | Lido: 
Arquivo: img_003156.jpg | Status: detection_failed | Esperado: MSI3655 | Lido: 
Arquivo: img_003145.jpg | Status: incorrect | Esperado: MRT2203 | Lido: SRT2203
Arquivo: img_003151.jpg | Status: ocr_failed | Esperado: ODG3992 | Lido: 
Arquivo: img_003161.jpg | Status: ocr_failed | Esperado: ODT6181 | Lido: 006181
Arquivo: img_003162.jpg | Status: incorrect | Esperado: MSD0247 | Lido: MSO0247
Arquivo: img_003175.jpg | Status: detection_failed | Esperado: MTF9808 | Lido: 
Arquivo: img_003165.jpg | Status: incorrect | Esperado: ODP0519 | Lido: OOP0519
Arquivo: img_003178.jpg | Status: detection_failed | Esperado: PPL8682 | Lido: 
Arquivo: img_003176.jpg | Status: ocr_failed | Esperado: ODG1791 | Lido: 0DG179
Arquivo: img_003191.jpg | Status: ocr_failed | Esperado: PPC4281 | Lido: PPC428
Arquivo: img_003202.jpg | Status: ocr_failed | Esperado: ODT6162 | Lido: 
Arquivo: img_003214.jpg | Status: detection_failed | Esperado: PPP9633 | Lido: 
Arquivo: img_003212.jpg | Status: ocr_failed | Esperado: PXL8620 | Lido: 
Arquivo: img_003208.jpg | Status: incorrect | Esperado: ODP0519 | Lido: OOP0519
Arquivo: img_003227.jpg | Status: detection_failed | Esperado: ODT6129 | Lido: 
Arquivo: img_003223.jpg | Status: ocr_failed | Esperado: OYJ6856 | Lido: YJ6856
Arquivo: img_003224.jpg | Status: incorrect | Esperado: MTS3329 | Lido: MIS3329
Arquivo: img_003226.jpg | Status: incorrect | Esperado: MTL5802 | Lido: HTL5802
Arquivo: img_003237.jpg | Status: ocr_failed | Esperado: PPX0681 | Lido: 
Arquivo: img_003233.jpg | Status: incorrect | Esperado: ODG3176 | Lido: OOG3176
Arquivo: img_003239.jpg | Status: incorrect | Esperado: ODP0519 | Lido: OOP0519
Arquivo: img_003241.jpg | Status: incorrect | Esperado: ODS6953 | Lido: OOS6953
Arquivo: img_003254.jpg | Status: detection_failed | Esperado: ODN5899 | Lido: 
Arquivo: img_003251.jpg | Status: incorrect | Esperado: ODS3821 | Lido: OOS3821
Arquivo: img_003264.jpg | Status: ocr_failed | Esperado: PPW3952 | Lido: 
Arquivo: img_003271.jpg | Status: ocr_failed | Esperado: ODS3398 | Lido: 1T0DS3398
Arquivo: img_003277.jpg | Status: ocr_failed | Esperado: PPW3952 | Lido: 
Arquivo: img_003293.jpg | Status: detection_failed | Esperado: OYE6786 | Lido: 
Arquivo: img_003289.jpg | Status: incorrect | Esperado: ODT6179 | Lido: OOT6179
Arquivo: img_003300.jpg | Status: incorrect | Esperado: ODG3176 | Lido: OOG3176
Arquivo: img_003294.jpg | Status: ocr_failed | Esperado: MTZ3672 | Lido: 
