--- Relatório Detalhado de Falhas ---

Arquivo: img_004274.jpg | Status: detection_failed | Esperado: ERM3130 | Lido: 
Arquivo: img_014004.jpg | Status: incorrect | Esperado: QRL2J59 | Lido: QPL2J59
Arquivo: img_010581.jpg | Status: ocr_failed | Esperado: LMQ6F27 | Lido: 
Arquivo: img_013526.jpg | Status: incorrect | Esperado: MST1I91 | Lido: MST1191
Arquivo: img_002281.jpg | Status: detection_failed | Esperado: ODH5076 | Lido: 
Arquivo: img_004694.jpg | Status: ocr_failed | Esperado: MQT8892 | Lido: 
Arquivo: img_000536.jpg | Status: incorrect | Esperado: ODT6482 | Lido: OOT6482
Arquivo: img_003944.jpg | Status: detection_failed | Esperado: MQS8030 | Lido: 
Arquivo: img_010606.jpg | Status: ocr_failed | Esperado: QRE4E99 | Lido: 
Arquivo: img_004600.jpg | Status: incorrect | Esperado: MQO1197 | Lido: MOO1197
Arquivo: img_010868.jpg | Status: incorrect | Esperado: QMM0E07 | Lido: ONK0E07
